Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOGL,MSFT,NVDA,AAPL,AMZN,GOOGL,MSFT,NVDA,AAPL,AMZN,GOOGL,MSFT,NVDA,AAPL,AMZN,GOOGL,MSFT,NVDA,AAPL,AMZN,GOOGL,MSFT,NVDA
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-01,193.4513702392578,131.69000244140625,130.76576232910156,330.64654541015625,46.47840118408203,194.55900578654655,133.69000244140625,131.839325685076,332.8093165466115,46.87116107003792,193.12501010327395,131.6199951171875,129.90093855555864,328.0512500473967,45.99869681039903,194.074422779809,133.5500030517578,130.00034846859862,329.5160182255947,46.431429201564896,35175100,42098500,23166800,18311900,237858000
2023-08-02,190.45480346679688,128.2100067138672,127.61466217041016,321.95623779296875,44.24177932739258,193.026102358892,130.22999572753906,129.31445944065703,327.9824769066263,45.811812441714785,189.73286353794578,126.81999969482422,126.79954335379257,320.8355207632289,43.36032171305953,192.88764791924382,130.14999389648438,128.67827543385778,327.9824769066263,45.802819104407256,50389300,51027600,26273300,27761300,530142000
2023-08-03,189.06036376953125,128.91000366210938,127.68421936035156,321.1304626464844,44.48762130737305,190.247118290272,129.83999633789062,128.61861780939276,324.2959572590303,45.0902510844573,188.58566497931545,126.41000366210938,126.66036110265438,320.4324895800292,43.77306090168559,189.45595867004647,127.4800033569336,127.20708521303177,320.4816312040504,43.77306090168559,61235200,88585200,20089500,18253700,324176000
2023-08-04,179.981689453125,139.57000732421875,127.34626770019531,322.2314758300781,44.652523040771484,185.31220853119976,143.6300048828125,130.72599239661176,329.46690442388586,45.613929417998236,179.91245468139763,139.32000732421875,127.14746304178668,321.70060832431494,44.36570079021175,183.47273360328953,141.05999755859375,128.50929087810022,326.2620787423008,44.95733577714755,115956800,153128500,26147200,23741500,362666000
2023-08-07,176.87631225585938,142.22000122070312,130.74586486816406,324.52203369140625,45.38907241821289,181.10907923772604,142.5399932861328,130.825389757462,325.50510614632094,45.511997882155306,175.3928654606145,138.9499969482422,128.2508340337058,321.97587963329613,44.53559746044546,180.12011470756278,140.99000549316406,128.38999879802174,322.8114972201717,45.083260824874436,97576100,71213100,22746300,17741500,322154000
2023-08-08,177.81581115722656,139.94000244140625,130.61663818359375,320.5307312011719,44.636531829833984,178.28062565603474,140.83999633789062,130.72598301304316,323.1850385754183,45.21417545888019,175.6203088706347,138.4199981689453,128.76772617424507,317.5323725014756,44.028904059244816,177.70702446409274,140.6199951171875,129.8412894539787,321.42533064951436,44.82541476597463,67823000,51710500,23535200,22327600,353843000
2023-08-09,176.22361755371094,137.85000610351562,128.88702392578125,316.7754211425781,42.52783203125,178.93337110075507,140.32000732421875,131.25282502828625,321.5727891157856,44.28475035974044,175.05663139218126,137.10000610351562,128.23095493467528,315.61537294318714,42.10808833020014,178.87403563482027,139.97000122070312,130.8751007464739,320.9436383983928,44.24677171513359,60378500,50017300,24912900,22373300,586449000
2023-08-10,176.00601196289062,138.55999755859375,128.91683959960938,317.4635925292969,42.36193084716797,178.75533204520585,140.41000366210938,131.26277077712732,322.70338571036314,43.54720225207386,175.64009992954092,137.49000549316406,128.67826492860314,315.74321566890393,41.80926955254042,177.4993429142372,139.07000732421875,130.53712700857182,320.50128292838593,42.134070432183805,54686900,58928400,20857800,20113700,492705000
